Timestamp,CAN_ID,ECU,DLC,DATA0,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,Binary_Label,Flag,Severity
0.004458,0080,Airbag,8,95,255,0,254,4,255,0,255,0,Normal,Low
0.006139,0240,Wheel,8,47,53,55,47,54,3,0,0,0,Normal,Low
0.013651,00C0,ABS,8,51,1,104,103,0,0,168,183,0,Normal,Low
0.015956,01C0,Battery,8,112,95,2,200,0,3,1,0,0,Normal,Low
0.016519,0130,Engine,8,20,135,49,0,105,1,251,5,0,Normal,Low
0.022511,0220,Body,8,94,3,5,0,0,0,0,255,0,Normal,Low
0.025067,0130,Engine,8,15,142,51,3,97,0,252,0,0,Normal,Low
0.034908,0080,Airbag,8,93,253,0,255,0,252,1,255,0,Normal,Low
0.03553,00A0,ABS,8,50,0,101,97,0,0,168,192,0,Normal,Low
0.040899,0100,Engine,8,18,142,45,0,105,2,255,4,0,Normal,Low
0.050577,0140,Steering,8,80,133,0,130,0,0,18,29,0,Normal,Low
0.059556,01C0,Battery,8,110,98,0,197,0,0,3,0,0,Normal,Low
0.064992,0080,Airbag,8,93,250,5,255,0,255,0,254,0,Normal,Low
0.070291,0220,Body,8,92,2,2,0,0,0,0,255,0,Normal,Low
0.07393,0220,Body,8,93,0,5,5,4,0,1,255,0,Normal,Low
0.081003,01C0,Battery,8,108,96,5,202,0,5,4,4,0,Normal,Low
0.083421,0120,Engine,8,19,136,50,4,99,0,255,3,0,Normal,Low
0.090508,00A0,ABS,8,47,1,95,100,3,3,174,183,0,Normal,Low
0.096986,00C0,ABS,8,45,0,105,95,0,2,175,187,0,Normal,Low
0.101303,0260,ADAS,8,68,16,33,53,70,80,101,121,0,Normal,Low
0.102082,0200,Body,8,93,0,6,5,0,0,0,255,0,Normal,Low
0.110867,0220,Body,8,98,0,0,0,0,0,0,255,0,Normal,Low
0.112084,01A0,Battery,8,112,95,1,198,0,0,0,0,0,Normal,Low
0.11479,0240,Wheel,8,46,45,47,46,53,0,0,1,0,Normal,Low
0.118324,00A0,ABS,8,46,0,102,97,4,0,169,191,0,Normal,Low
0.123881,0130,Engine,8,15,133,46,0,103,0,255,3,0,Normal,Low
0.130625,0240,Wheel,8,51,45,53,47,54,3,0,4,0,Normal,Low
0.138369,0130,Engine,8,18,139,52,0,100,5,250,1,0,Normal,Low
0.142228,0080,Airbag,8,96,255,2,250,0,255,1,254,0,Normal,Low
0.14392,00A0,ABS,8,52,0,102,96,0,4,167,182,0,Normal,Low
0.153351,01A0,Battery,8,110,103,0,202,2,2,0,1,0,Normal,Low
0.155942,0160,Transmission,8,32,0,3,7,67,126,5,2,0,Normal,Low
0.165219,0140,Steering,8,83,132,3,132,0,0,21,34,0,Normal,Low
0.173787,0080,Airbag,8,101,253,0,251,3,251,0,254,0,Normal,Low
0.179672,0140,Steering,8,79,126,2,127,2,5,17,35,0,Normal,Low
0.182539,0260,ADAS,8,67,13,37,46,71,88,107,119,0,Normal,Low
0.185308,0280,ADAS,8,69,13,35,53,64,85,100,121,0,Normal,Low
0.188693,0100,Engine,8,13,136,54,1,99,4,255,0,0,Normal,Low
0.19517,0180,Transmission,8,27,3,2,8,62,133,0,0,0,Normal,Low
0.202578,0200,Body,8,94,3,0,0,0,0,0,255,0,Normal,Low
0.203134,0120,Engine,8,20,142,47,0,98,0,255,4,0,Normal,Low
0.206546,01A0,Battery,8,107,98,1,201,5,4,1,5,0,Normal,Low
0.21313,0260,ADAS,8,68,20,33,54,67,88,98,124,0,Normal,Low
0.218164,0280,ADAS,8,69,14,35,46,64,81,101,124,0,Normal,Low
0.221654,0240,Wheel,8,49,52,46,51,55,0,1,0,0,Normal,Low
0.231562,0080,Airbag,8,98,252,5,250,0,252,5,254,0,Normal,Low
0.240739,0220,Body,8,93,0,1,5,5,0,1,250,0,Normal,Low
0.244604,0260,ADAS,8,59,17,39,52,70,82,106,119,0,Normal,Low
0.25331,01A0,Battery,8,115,97,2,202,0,2,0,0,0,Normal,Low
0.2577,0280,ADAS,8,62,21,37,51,70,84,106,117,0,Normal,Low
0.26657,01C0,Battery,8,108,97,0,203,0,5,0,1,0,Normal,Low
0.268259,00C0,ABS,8,46,5,98,95,0,0,169,191,0,Normal,Low
0.271125,0180,Transmission,8,36,5,1,3,64,129,0,4,0,Normal,Low
0.272775,0260,ADAS,8,66,22,34,49,67,81,99,124,0,Normal,Low
0.276029,00A0,ABS,8,51,0,97,103,0,0,168,186,0,Normal,Low
0.285327,00A0,ABS,8,44,0,98,95,0,0,165,184,0,Normal,Low
0.289418,0240,Wheel,8,43,47,47,55,53,3,0,2,0,Normal,Low
0.297707,0200,Body,8,92,0,0,0,1,0,0,255,0,Normal,Low
0.307327,01A0,Battery,8,110,103,0,201,0,0,0,0,0,Normal,Low
0.312316,0130,Engine,8,19,135,51,0,102,0,254,0,0,Normal,Low
0.320134,0120,Engine,8,19,142,49,0,99,0,255,4,0,Normal,Low
0.324135,0220,Body,8,99,0,2,0,0,5,3,252,0,Normal,Low
0.329042,0130,Engine,8,12,143,54,0,96,1,252,0,0,Normal,Low
0.333809,0100,Engine,8,17,137,49,0,103,3,253,0,0,Normal,Low
0.340361,0240,Wheel,8,45,49,48,46,55,0,5,1,0,Normal,Low
0.346164,0180,Transmission,8,30,1,3,2,59,127,4,1,0,Normal,Low
0.350948,0280,ADAS,8,60,19,36,49,72,80,102,116,0,Normal,Low
0.356267,0160,Transmission,8,28,5,5,1,61,125,0,5,0,Normal,Low
0.356811,0100,Engine,8,13,133,45,0,96,3,254,0,0,Normal,Low
0.361886,0160,Transmission,8,32,6,0,0,59,133,1,0,0,Normal,Low
0.365323,00C0,ABS,8,44,1,97,102,0,2,175,184,0,Normal,Low
0.371842,0220,Body,8,94,1,0,1,6,0,0,255,0,Normal,Low
0.381347,0260,ADAS,8,64,13,36,51,64,89,101,115,0,Normal,Low
0.386844,0080,Airbag,8,92,255,5,255,3,255,5,252,0,Normal,Low
0.389623,0180,Transmission,8,33,0,0,0,61,129,0,0,0,Normal,Low
0.391912,0240,Wheel,8,53,45,48,54,52,1,3,0,0,Normal,Low
0.397765,0240,Wheel,8,47,51,45,47,55,0,0,2,0,Normal,Low
0.398375,00A0,ABS,8,50,5,103,105,0,3,172,188,0,Normal,Low
0.406534,00A0,ABS,8,44,0,97,102,4,2,165,187,0,Normal,Low
0.415186,01C0,Battery,8,112,101,3,203,2,0,5,0,0,Normal,Low
0.419714,0130,Engine,8,14,140,52,4,103,0,255,0,0,Normal,Low
0.42538,0280,ADAS,8,64,20,33,54,68,82,102,115,0,Normal,Low
0.426851,0240,Wheel,8,50,52,54,48,51,0,5,0,0,Normal,Low
0.435119,0260,ADAS,8,64,18,35,54,64,80,102,124,0,Normal,Low
0.444321,0080,Airbag,8,101,253,5,250,0,255,4,255,0,Normal,Low
0.444823,0080,Airbag,8,95,255,1,255,5,252,0,255,0,Normal,Low
0.44834,01C0,Battery,8,113,98,0,202,0,0,0,4,0,Normal,Low
0.456832,0260,ADAS,8,61,12,36,48,65,87,105,124,0,Normal,Low
0.466345,0160,Transmission,8,32,0,0,0,61,124,0,0,0,Normal,Low
0.472501,01C0,Battery,8,117,103,0,198,1,0,1,0,0,Normal,Low
0.477224,0100,Engine,8,13,143,47,3,100,0,251,5,0,Normal,Low
0.480336,01C0,Battery,8,110,103,4,202,0,0,0,2,0,Normal,Low
0.483996,0080,Airbag,8,96,255,5,255,0,255,4,253,0,Normal,Low
0.484707,0130,Engine,8,14,138,49,2,102,0,250,5,0,Normal,Low
0.492683,00C0,ABS,8,52,4,96,100,0,4,171,187,0,Normal,Low
0.498098,0080,Airbag,8,100,251,3,253,4,254,0,252,0,Normal,Low
0.502592,0140,Steering,8,82,128,0,128,0,0,16,30,0,Normal,Low
0.507338,0240,Wheel,8,50,49,48,51,46,0,1,0,0,Normal,Low
0.512989,0080,Airbag,8,100,255,0,255,0,255,0,255,0,Normal,Low
0.515932,0100,Engine,8,15,138,48,3,95,0,255,0,0,Normal,Low
0.517709,0130,Engine,8,21,137,51,3,96,2,255,0,0,Normal,Low
0.527402,0220,Body,8,92,4,5,1,0,5,0,255,0,Normal,Low
0.529496,00A0,ABS,8,53,0,100,95,0,0,173,191,0,Normal,Low
0.536941,0100,Engine,8,21,139,47,5,100,1,254,5,0,Normal,Low
0.544931,0080,Airbag,8,96,255,2,251,0,250,0,254,0,Normal,Low
0.54899,0080,Airbag,8,95,255,5,250,2,255,3,255,0,Normal,Low
0.549603,0100,Engine,8,12,141,54,0,101,0,251,5,0,Normal,Low
0.553663,0240,Wheel,8,44,54,50,51,46,0,3,0,0,Normal,Low
0.559976,01C0,Battery,8,107,98,1,203,5,0,0,3,0,Normal,Low
0.563008,01C0,Battery,8,117,99,0,202,0,0,1,0,0,Normal,Low
0.572973,0130,Engine,8,20,134,46,0,103,0,255,0,0,Normal,Low
0.577139,0220,Body,8,95,0,0,0,0,5,0,253,0,Normal,Low
0.584826,0080,Airbag,8,101,253,0,255,0,255,5,255,0,Normal,Low
0.586029,0080,Airbag,8,97,255,0,255,0,254,3,255,0,Normal,Low
0.592712,0140,Steering,8,81,124,0,128,2,4,15,34,0,Normal,Low
0.595534,0200,Body,8,99,0,5,1,2,3,5,251,0,Normal,Low
0.596133,01C0,Battery,8,108,99,0,203,0,5,0,3,0,Normal,Low
0.604338,0240,Wheel,8,50,55,49,46,51,0,0,1,0,Normal,Low
0.605025,01C0,Battery,8,113,99,0,200,4,0,0,0,0,Normal,Low
0.613639,0200,Body,8,92,0,0,0,2,4,0,255,0,Normal,Low
0.621626,0260,ADAS,8,69,21,34,47,71,90,97,121,0,Normal,Low
0.628528,0280,ADAS,8,60,14,33,55,66,90,105,118,0,Normal,Low
0.631125,0120,Engine,8,19,140,47,0,100,0,250,0,0,Normal,Low
0.639328,0120,Engine,8,11,134,53,0,100,4,255,0,0,Normal,Low
0.648536,00C0,ABS,8,47,1,97,102,0,2,171,186,0,Normal,Low
0.653541,0120,Engine,8,12,143,51,3,101,0,255,1,0,Normal,Low
0.662489,0080,Airbag,8,95,255,0,254,0,252,1,255,0,Normal,Low
0.670565,0130,Engine,8,11,133,55,0,103,1,255,2,0,Normal,Low
0.673005,0180,Transmission,8,36,2,5,8,69,127,0,5,0,Normal,Low
0.677387,00C0,ABS,8,48,4,96,103,0,1,166,186,0,Normal,Low
0.68405,0200,Body,8,93,0,4,0,0,0,0,255,0,Normal,Low
0.691368,00A0,ABS,8,47,0,104,97,0,0,173,189,0,Normal,Low
0.693243,0200,Body,8,94,3,4,0,2,0,0,255,0,Normal,Low
0.694154,0180,Transmission,8,33,0,1,2,60,130,1,0,0,Normal,Low
0.696845,0180,Transmission,8,27,4,0,3,66,133,5,1,0,Normal,Low
0.702393,00A0,ABS,8,46,0,104,104,3,4,169,189,0,Normal,Low
0.707717,0130,Engine,8,18,133,46,4,104,0,253,5,0,Normal,Low
0.708668,0100,Engine,8,21,137,50,0,100,5,250,0,0,Normal,Low
0.716702,0100,Engine,8,19,139,55,1,105,0,250,4,0,Normal,Low
0.72663,0280,ADAS,8,69,12,36,51,72,85,106,116,0,Normal,Low
0.734587,00A0,ABS,8,50,0,101,95,2,0,173,190,0,Normal,Low
0.740094,0180,Transmission,8,30,6,2,0,61,129,0,0,0,Normal,Low
0.746618,0280,ADAS,8,64,17,36,55,70,84,102,116,0,Normal,Low
